Month,DayofMonth,DayOfWeek,Operating_Airline,Origin,Dest,CRSDepTime,Distance,ArrDelay,Cancelled,Diverted,Duplicate
7,14,7,WN,PIT,PHX,1915,1814.00,,0.00,1.00,N
7,18,4,UA,PBI,EWR,1703,1023.00,39.00,0.00,0.00,N
6,26,3,DL,MIA,MCO,1520,192.00,,0.00,1.00,N
8,30,5,UA,EWR,PBI,0959,1023.00,,0.00,1.00,N
9,24,2,YV,IAH,CVG,1215,871.00,,0.00,1.00,N
9,20,5,YV,SDF,IAD,1429,451.00,444.00,0.00,0.00,N
6,6,4,9E,DTW,HSV,1215,554.00,-9.00,0.00,0.00,N
8,30,5,OH,DCA,ATL,0824,547.00,,1.00,0.00,N
8,28,3,DL,PDX,MSP,0605,1426.00,210.00,0.00,0.00,N
9,12,4,C5,MOB,IAH,0900,427.00,,1.00,0.00,N
6,7,5,OH,DCA,DAY,0825,391.00,204.00,0.00,0.00,N
7,8,1,OH,JAX,DCA,1423,634.00,190.00,0.00,0.00,N
9,19,4,YV,OKC,IAH,1205,395.00,-10.00,0.00,0.00,N
7,9,2,C5,SGF,IAH,0640,513.00,,1.00,0.00,N
8,25,7,B6,JFK,MSY,0800,1182.00,-18.00,0.00,0.00,N
6,14,5,NK,RNO,LAS,1952,345.00,,1.00,0.00,N
